,R2,Target,Text Features
0,0.040430231,imdb_score,['plot_keywords']
1,0.505322461,gross,['plot_keywords']
2,0.102008021,imdb_score,"['plot_keywords', 'genres']"
3,0.330490129,gross,"['plot_keywords', 'genres']"
4,0.141500709,imdb_score,"['plot_keywords', 'genres', 'director_name']"
5,0.181766446,gross,"['plot_keywords', 'genres', 'director_name']"
6,0.112801463,imdb_score,"['plot_keywords', 'genres', 'director_name', 'actor_1_name']"
7,0.159452374,gross,"['plot_keywords', 'genres', 'director_name', 'actor_1_name']"
8,0.141444101,imdb_score,"['plot_keywords', 'genres', 'director_name', 'actor_1_name', 'movie_title']"
9,0.123877346,gross,"['plot_keywords', 'genres', 'director_name', 'actor_1_name', 'movie_title']"
10,0.123476154,imdb_score,"['plot_keywords', 'genres', 'director_name', 'actor_1_name', 'movie_title', 'actor_3_name']"
11,0.124571181,gross,"['plot_keywords', 'genres', 'director_name', 'actor_1_name', 'movie_title', 'actor_3_name']"
12,0.141212722,imdb_score,"['plot_keywords', 'genres', 'director_name', 'actor_1_name', 'movie_title', 'actor_3_name', 'language']"
13,0.123398518,gross,"['plot_keywords', 'genres', 'director_name', 'actor_1_name', 'movie_title', 'actor_3_name', 'language']"
14,0.11715397,imdb_score,"['plot_keywords', 'genres', 'director_name', 'actor_1_name', 'movie_title', 'actor_3_name', 'language', 'country']"
15,0.08815629,gross,"['plot_keywords', 'genres', 'director_name', 'actor_1_name', 'movie_title', 'actor_3_name', 'language', 'country']"
16,0.128316528,imdb_score,"['plot_keywords', 'genres', 'director_name', 'actor_1_name', 'movie_title', 'actor_3_name', 'language', 'country', 'color']"
17,0.12953762,gross,"['plot_keywords', 'genres', 'director_name', 'actor_1_name', 'movie_title', 'actor_3_name', 'language', 'country', 'color']"
18,0.035114585,imdb_score,['genres']
19,0.438328831,gross,['genres']
20,0.12554876,imdb_score,"['genres', 'director_name']"
21,0.218259348,gross,"['genres', 'director_name']"
22,0.116346185,imdb_score,"['genres', 'director_name', 'actor_1_name']"
23,0.096774393,gross,"['genres', 'director_name', 'actor_1_name']"
24,0.124500372,imdb_score,"['genres', 'director_name', 'actor_1_name', 'movie_title']"
25,0.099577357,gross,"['genres', 'director_name', 'actor_1_name', 'movie_title']"
26,0.124883965,imdb_score,"['genres', 'director_name', 'actor_1_name', 'movie_title', 'actor_3_name']"
27,0.078243799,gross,"['genres', 'director_name', 'actor_1_name', 'movie_title', 'actor_3_name']"
